question	"answer""If I ask questions about Jimmy Wales as anonymous"	" can Quora reveal my real identity to him?"""
Why do people have a problem with Trump putting America first?	"While I fully agree with the other answers here that point out the flaws in proclaiming ?õ????America First,?õ???ù
?õ????I love WikiLeaks.?õ???ù
Or Trump on the legitimacy of the U.S. judicial system:
Or Trump on America?õ????s moral equivalency to Russia:
?õ????There are a lot of killers.?õ???ù
Or Trump on the legitimacy of the U.S. electoral system:
Or Trump praising multiple dictators, including Gaddafi and Assad while criticizing the United States:
At one point, Trump though that Obama had lost the popular vote but won the Electoral College vote. Interesting what Trump thought about someone who, ahem, lost the popular vote but won the Electoral College vote:
And here?õ????s Trump talking about the military and how past generals would be ashamed at ?õ????how they fight.?õ???ù
Or Trump?õ????s tweets and criticisms of U.S. intelligence agencies:
It?õ????s just an example of?õ????if I may use the expression?õ?????õ???ùFake News,?õ???ù Trump style.
"	
Has any couple met on Quora and fallen in love?	"Before I start, please take note: Quora is
Somewhere in October 2013, I was so bored at office that I decided to Google my name. I saw a profile with my name on this website I'd never heard of - Quora. I immediately clicked the link and signed up so I can report the account. After doing the necessary, I was about to deactivate my account, but something caught my attention. It was a question about experience in arranged marriage, and I started reading
Became a top writer.
Married that guy a day ago.
Moral of the story: Make someone's day, they might just make your life.
A2A, Thanks Barbie, Roshna, Smriti
"	
How many days can a human survive without food?	"Scientifically, a human can survive for 3 weeks without food,utmost.
(Mahatma Gandhi survived without food for 21 days),don't know if there is any other person who has tried this,it's not fun though!
But in case of water,it's a different story.You can't survive for more than 3 days without water!
"	
"Were ""All of world's scientists"" right when they told us not to drink whole milk and and not to eat eggs?"	"Apparently in your world ?õ????All of the world?õ????s scientists?õ???ù are made of straw. Because what you claim happened, never happened.
Science is a self correcting process. A few decades ago many (not all) scientists mistakenly thought that cholesterol in eggs had a deleterious effect on serum cholesterol. It later turned out not to be the case. The new information was publicized.
Some people stubbornly held on to the old advice. Others use this, ironically, as an illustration of what?õ????s wrong with science. It?õ????s actually an example of what?õ????s right with science.
"	
What is the dark side of falling in love?	"But does it start that way? No.
At the onset, there?õ????s the initial excitement, and euphoria. Waiting eagerly for every text and call becomes common, as do the wonderful dates, stolen kisses, tight hugs and cute cuddles. The entire world lies forgotten as that one person becomes the centre of your existence and your life feels perfect.
Then as time passes, months, sometimes years, routine sets in. Gradually, the euphoria dies down, the excitement settles, familiarity builds. You get used to each other. The frequency of calls and texts reduces. People get busy. Life moves on. You stop staying up all night fighting sleep just to talk to them. You don't wake up to good morning messages anymore. You meet, but not as often. Even when you do, something seems to be missing. That spark is gone.
You feel your partner has changed. Maybe he/she doesn't feel the same for you anymore. You become sad and insecure. You keep trying to figure out what went wrong, but nothing really makes sense. You become distant from each other, there are misunderstandings, fights, arguments. And then one day, it just dawns on you that you and your partner aren't compatible after all. And that it's over.
Then comes the tough part. Moving on. But that's easier said than done. You realise that it seems impossible to go on without them in your life. Because your partner was the first person you told everything to. Your confidante. Your person. Now all of a sudden, how do you let go of that? How do you accept that things have changed?
Then you blame yourself. You get angry at yourself for ever believing it could have lasted forever. But, nothing lasts forever. Things change. People change. And you have to accept it. So, you learn to cope. You try to take one day at a time. But then someone mentions them in passing, or talks about their favourite icecream flavour, or a particular song they liked?õ????and it all comes back in a whirlwind of memories.
Eventually, after days of pretending to be alright, and lots of sleepless nights, you tell yourself enough is enough. You can't stop living just because he/she isn't in your life anymore. After all, you were perfectly fine before they came along. So you learn to pick yourself up when you're low. You force yourself to go out, meet people, reconnect with friends, focus on your career, find a new hobby. Slowly, as normalcy returns, you realise that there's a whole world around you that you'd ignored when you were in love. There are other people, other experiences that are just as wonderful and fulfilling.. so you heal, you get better.
You know you've finally moved on when you hear their name, and you feel nothing. No bitterness, no resentment, nothing. You're stronger, you're wiser. You're a better person. But more importantly, you're whole again.
"	
What is a person thinking when I prove God and a certain religion to him 100% and he admits I'm right but still doesn't practice it?	"Since your details imply that you can read his mind, you have no need to ask this question.
Since you did ask this question, I will assume that you cannot read his mind and that, therefore, you do not know why he agreed with you.
Your videos aren?õ????t proof of anything, so, I am guessing that he was, indeed, trying to get you to leave him alone.
And you most assuredly were proselytizing. That is, you were trying to convince him to change his beliefs.
"	
Is MI Redmi 4A worth buying?	"Snapdragon
The
The
If you are not going going to fill up your phone with
"	
"What kind of clothes should I pack when moving to Gold Coast, Australia?"	"I like to wear natural fabrics because they breathe and it can get very hot and humid on the Gold Coast. Cottons, Silks and even Rayon is comfortable. Try to keep away from polyesters and those types of fabrics as they can become uncomfortable.
You won?õ????t need a lot of Winter clothing a couple of jumpers to wear with your skirts a jacket and a few cardigans should see you through. (Especially your first Winter there until you become acclimatized )
Keep in mind the Gold Coast is pretty laid back and casual. Don?õ????t pack a lot of formal stuff. Seeing you like female styles skirts and tops will see you to most places. A couple of good going out dresses and a couple of pairs of good shoes to wear out, with thongs (flip flops) and sandals for every day wear
It?õ????s a great place and the people are friendly, you?õ????ll love it :)
"	
"Which is the better choice, UMBC or Whistling Woods, for cinematography? Why?"	"Firstly, I don?õ????t think UMBC is a comparable school to Whistling Woods. If you had to compare, I would recommend you look at NYU Tisch or USC or Chapman in comparison. These are schools that are as good as / better than Whistling Woods.
Now about the question of going overseas or studying in India.
Being a professional in any film industry is about 3 things - education / training, networking and hard work.
Professionals building partnerships with other professionals (networking) goes a long way to defining the kind of work they do. Lucas-Spielberg is one such. There are also more recent partnerships of Inarritu - Lubezki. Closer to home there?õ????s the partnership of Raju Hirani & CK Murleedhar.
Film school is about all the 3 things I mentioned - learning, networking and hard work. It is a great place to meet your future co-professionals in the industry, forge relationships and start to build out your ?õ????network?õ????.
As we have observed among our students, they form teams based on their comfort level of working together and even if one person from the team gets a break in the industry, he / she pulls in the other members of the team into the film / project that he / she is working in. We have seen such combinations develop between directors, cinematographers, Audiographers, Editors and even producers?õ????
Lastly, I have always given this advise to people wanting to know if it makes sense to study overseas or in India. If you?õ????re planning to work overseas, you should go abroad to study. If you?õ????re planning to come back & work in India, then you should never go abroad to study. The industry culture, the networking among your peers and the industry links that an institute like Whistling Woods brings to its students is unparalleled.
So, I would recommend that you study at Whistling Woods and use the money saved up to get yourself a nice DSLR or save it for the in-between period between education and making money?õ????
"	
What Canadian universities outside of Quebec give fee exemptions to French students?	"uOttawa actually has more requirementsi n order to get fee exemptions (which is 1000$). You need to take at least 3 courses in french per semester and keep a certain average which I don?õ????t remember.
"	
To what extent can one become resistant to diseases?	"If you will do exercises on regular basis, follow healthy diet, sleep well, etc, then you will become resistant to diseases to some extent.
But it doesn?õ????t mean that you will completely immune to diseases.
"	
"How can someone turn $100 into $10,000 in 1 month?"	"To make $100 into $10,000 in one month would require a 10,000% return in one month.
In one year ?õ???? if you could obtain such a return ?õ???? you would have $1 trillion. Clearly, it's a ridiculous proposition to do this without taking on extreme risk where the probability of losing your entire $100 would be quite close to 100%.
"	
"In Spanish, can ""es un"" function as ""is""? (Please see description for an example.)"	"?õ????Mike es un buen comerciante?õ???ù means ?õ????Mike is a good businessman?õ???ù rather than directly saying the sentence you might not take to be equivalent, ?õ????Mike is good at business.?õ???ù
"	
Should Bengaluru be included in Tamilnadu as there are more Tamil than Kannadigas ?	"Actually the population of Telugu speaking people is more than the Tamil speaking people. So by that logic, Bengaluru should be included in Andhra Pradesh or Telangana. But the population of Telugu speaking population is lesser than the Kannada speaking population.
As far as I know,
A part of Bengaluru was a cantonment and hence a part of the Madras Presidency and even now, the areas surrounding the cantonment have a large Tamilian population. But the British officials like Thomas Munro and Mark Cubbon encouraged the use of Kannada since it was the language most spoken by the people. Hence, Bengaluru was rightly included in Mysore State, which later on was renamed as Karnataka.
Bengaluru is where it rightfully belongs.
"	
What are the benefits and drawbacks of using Medium.com instead of your own www.domain for your personal blog?	"The benefits of Medium would be increased visibility - people are more likely to find your blog. Also, there?õ????s less maintenance, as you don?õ????t have to worry about low level things like JavaScript, CSS, HTML, etc.
The drawbacks are less customization options, and less ways to monetize.
One thing you can do is publish both places (I?õ????ve done a few on
"	
Is this considered to be too much for a high school senior schedule?	"If the ?õ????outside?õ???? Organic Chem is a University Recognized (transferable) class, then yes, I?õ????d say it is a bit much. The commute time, etc. all has to be accounted for. Attacking first year Organic is very much similar to your method of studying for a foreign language class; if you did well in a foreign language, then you?õ????ll have the right approach for Organic IMHO.
For California Universities, they really care little about your AP or NOT AP courses of the same title (they KNOW your schools?õ???? attributes; so it?õ????s your GPA they are looking at); they STRONGLY consider college transferable courses taken at a Community College. No matter the (tranferable) subject matter: it shows a) you know what ?õ????college level is?õ???? and b) if you take yet another one on another Semester, it shows you liked it. They flash like a beacons on your HS record, as the HS will place them on it at DOUBLE the college units, and if you mick it, then it can raise your HS GPA markedly. Also, for most districts, regarding a
An other consideration:
"	
What are some books that help when you're unsure about life?	"?õ????May I, monsieur, borrow a moment of you time??õ???ù The Albert Camus triad of novels, THE STRANGER, THE PLAGUE and THE FALL address you current situation. Camus writes of the awful, as in awesome, responsibility of making choices. Indeed, life is nothing but making choices since there is no one but you as a reference point for what choice you should make. Paradoxically, not making a choice is a choice, and one that often leads to the most horrific of circumstances.
"	
Why are people critical of Islam by relying on out-of-context passages from the Quran and Hadith and without understanding its true message?	"Why would you expect people who know nothing about Islam to be open to understanding it when they actually see Muslims in their countries asking for things like female only swimming pool times, removing christmas decorations from their neighborhoods, unusual ways of dressing, polygamy, while in their media they see other Muslims killing innocent people and fighting against each other, slaughtering humans saying ?õ????Allah Akbar?õ???ù? Why would you expect people to sit back and think: oh, here are the Muslims, that looks bad, but maybe, maaaaaaaaaaaaaybe what they?õ????re following is amazing and beautiful and full of light. If some do and make the effort of wanting to learn about Islam and read the Quran, that?õ????s because they?õ????re curious openminded people and it?õ????s good for them that they?õ????re willing to learn new stuff and try to make their own ideas and opinions. But you can?õ????t expect from all Western or non-Muslim people to do the same just because you think that Islam is amazing. Don?õ????t you see around you?? Don?õ????t you see what?õ????s happening to Islam and the Islamic world? CIVIL WAR and ALL SORTS of injustice and corruption, and fanatism growing everywhere. What do you expect people to think? I understand them, and I do not try to defend Islam in any way, because Islam is the Muslims, and I live in a Muslim society without seeing Islam in it. Oh I see thousands of veils and beards and loose dresses and mosques full of people on Fridays and during Ramadan, I see Quran everywhere being sold, and I hear Quran on tape everywhere in every store and in every cab, and I hear God said Prophet said all the time, and all I see is corruption, corruption, corruption and dirt. So I do not defend Islam because Islam isn?õ????t a concept, it?õ????s what its people make of it. Now they?õ????re giving it a bad name, so sorry, deal with it. But don?õ????t be outraged if people have a bad idea of Islam because Muslims have succeeded in giving a bad bad baaaaaad image of it, all by themselves.
Muslim countries and societies, highest rates of illiteracy, corruption, poor health care, prostitution, and I don?õ????t know what else. Muslim predicates everywhere on TV channels and the Internet preaching intolerance, narrowmindedness and spreading their ignorance to the face of the world. C?õ????mon, what do you expect? How and why would you want non-Muslims to guess that in Islam there is an Ibn Arabi, a Rabia Al Adawia, Qawwali music, a Jalalu Din Rumi, a Mohamed Arkoun, a Nasr Hamid Abu Zayd, a Nawal Shaaraoui, a Fatima Mernissi, ?õ????. how do you want them to even think that such people, figures within the diverse Islamic world even exist? Do, we, Muslims, even know these people? Do we learn from them ourselves? Do we convey anything else but narrowmindedness and ignorance of our own religion and history?? I mean, at large. And, why, why care what people think of Muslims? Is it what matters now, here, seriously? I?õ????m more worried about what Muslims think of themselves and of the chaos that?õ????s taking place amongst them?õ???? Syria, Iraq, Lybia, Burma, Southern Africa?õ????. maybe we should forget about the West and what the West thinks and just go within and ask: what do I think of myself as a Muslim? what do I think of my Muslim fellows? what on earth are we doing? do I learn enough? do I care enough? do I love enough? am I really a Muslim? (and I don?õ????t mean,doing all the rituals right oh that?õ????s so so so so meaningless without consciousness and love, it?õ????s just pointless).
Besides, religions aren?õ????t meant to be perfect or to last forever, they?õ????re a path. You know, as far as I know, Muslims don?õ????t worship Islam, but God. So?õ???? let?õ????s put things into perspective. We?õ????re having our bad time, let?õ????s just face it.
I know it hurts, but it?õ????s the truth.
We should thank our ignorance and lack of knowledge of our OWN history and culture and religion (as history, thought, and civilisation) for that. Our lack of interest in other cultures and peoples, just because oh we?õ????re the best community on earth bla bla bla?õ???? We just let a bunch of fanatic oligarchs take control of our lives and completely ruin this religion, just leaving the empty meaningless shell of it: veils, beards, and constant whining. But we?õ????re responsible too when we choose to give up THINKING.
"	
How do I find the general solution of the equation	"comparing with standard form
so lets try to manipulate the deqn. in such a way so that we can write a function in terms of derivative of another function
Now multiply both sides by
now divide both sides by
"	
"I feel like everyone around me is delusional including me. Its driving me mad, what do I do?"	"Seek out a therapist. They will be able to help you further.
It?õ????s hard to say what?õ????s the matter exactly, without any details.
To a certain extent, people are a little delusional, in my opinion. People believe in God without any proof, people are superstitious, believe in horoscopes etc. People can be convinced of that certain things are going to happen, while to others, they clearly won?õ????t (for example, someone thinks he is going to get fired over a small mistake). Delusional thoughts may be triggered by fear and anxiety, or may just give a person support.
But of course these are just normal little things and are part of who we, humans, are. So these are normal things. For someone to be
I don?õ????t know which type of delusional you are talking about. You say you think you and others are delusional, which might be a delusional thought itself, or you are simply noticing that people and yourself are believing the little things that may not have proof or be true (which is very common).
Either way, if it?õ????s really bugging you all the time, I really recommend talking to a therapist about this.
"	
Why are successful companies like Swiggy and Zomato did not expand their business to restaurants/food joints on highways?	"Don?õ????t exactly know what do you mean by highway restaurants.
Nonetheless,
Why would they have their own main-stream restaurant?
Restaurants do what they do best. We do what we do best. This is like saying why doesn?õ????t Samsung have its own T V Channel?
With slight modifications you say? Now that makes things interesting.
Do you know about are
"	
"There are 40 plus Islamic nations and 70 plus Christian nations, so is it wrong to demand a Hindu nation?"	"India is already a Hindu nation, a nation where all people beyond the river Sind/Indus/Hind lives! That is what a Hindu means or the word Hindustan means - land of people beyond the river Sind!!
I know your question asks about the religion of Hinduism, which in its present interpretation by a few vested opportunists and the way you?õ????ve asked this question, cannot be compared or linked to the Sanatana Dharma. In the true context of Sanatana Dharma, India is again a Hindu nation or a nation with majority following and believing Sanatana Dharma. Now what is this Dharma or what is un-adultered vedism? I do not wish to go into debates in this area.
There may be 40 nations founded on Islamic religion and are not secular, but there are no 70 plus Christian nations. All those nations are very much secular and have a clear distinction between state and religion. Creating a country on religious identity has so far not worked well anywhere in the world, other than establishing a completely authoritarian rule for it?õ????s citizens. Religion is private and personal affair of a person, State is not, so State and religion has to have clear separation. Religion can be interpreted in as many ways as there are followers in it, but constitution has to be interpreted in only one way, same for all the citizens. This is the primary reason, religion cannot govern a nation of diverse thoughts. Even if purely religious non-secular nations, religion is a very bad form of governance.
It is wrong to demand anything less than a secular, peaceful, equal-opportunity country for everyone living within it?õ????s borders. Hinduism (Vedism) is a philosophy, it is a way of life. Stop trying to compete with other religions, that is not a race any religion can win.
"	
What is the difference between 10 MVA and 10 MW in the context of electricity?	"MVA is the ?õ????Apparent Power?õ???ù. The simple product of voltage and current, and what has to be supplied and transmitted from generator to load.
MW are the ?õ????Real Power?õ???ù that does advantageous work. it is always lower than the apparent power, by an amount called the Power Factor (a dimensionless scaling factor of 1.0 or less)
Power factors less than 1 are caused by load impedences that are not pure resistance.
You can deconvolute current into two orthogonal vectors. One is in phase with the voltage, and the product of this one with voltage gives you the MW. The other is 90 degrees out of phase with the voltage. This is reactive. Multiply that by the voltage and you get MVAr . MVAr and MW form two sides of a right triangle, with MVA as the hypotenuse. You can use Pythagoras?õ???? theorem to relate them to each other.
"	
Do people in non-English minority countries listen to English music the way that North Americans do?	"They certainly listen to music with English words, but interestingly, not in the way that we do.
I?õ????ve traveled quite a bit, and it?õ????s interesting to see the unique cultural stamps that get placed on the western lyrical traditions in different parts of the world, especially the American dominated styles of the 20th century.
The subtleties are hard to gain insight into, but different cultural groups seem to take American music and apply the values that dominate their culture, irregardless of the style, leading to results that can seem really comical to a Westerner.
There are a lot of examples, but one good example is K-Pop, from South Korea. It?õ????s combined a lot of classical Euro/American melodies and motifs over simple dance and hip-hop beats. Lot?õ????s of archetypal children?õ????s melodies are used, along with classical themes, which you?õ????d expect, as the listeners there have been exposed to this musical tradition for less than 70 years.
Often, the lyrics will be mostly in Korean, but with a chorus or lyrical highlights in English.
Rap is a huge part of that, and is usually mixed English and Korean.
The songs are always about love, much like most of western pop, but the hip-hop is too - and this gets strange.
Korean rappers have the same, gruff, angry aggressive tone that American rappers use. When listening without understanding, you?õ????d expect the same lyrical content as Dr Dre or Eminem, but no! There are no themes of life on the streets, violence, money, and women. They are barking about how much they miss their sweet innocent lover, or how well she will be treated if she just came back to him. They will live together for a thousand years, under the stars that are forever shining over our love?õ???? etc.
After a quick google, here are some translated K-rap lyrics.
The
Another quick example?õ????.
I was listening to a Lebanese song with some of my students (Syrians), which sounded like a love song, and ended up being about horrible aspects of war and violence. People in that part of the world have had a rough experience lately, obviously, so I?õ????d expect that sort of content is what needs to be expressed at this point. Sort of the reverse of the Korean situation. The tone of the music and lyrics had
They listen differently I guess.
"	
"If you had to choose between saving the Bible or all music ever written, which would you save?"	"I would save all music ever written, an easy choice. Why? Simply because the Bible is contained in all music ever written. There's so many songs, that all the Bible verses must be contained in them.
"	
What is the importance of good communication skills?	"We control our environment by our ability to communicate. Also, according to Dr. Kirkley, the
Too, I learned years ago from Dr. Don Kirkley, who taught public speaking at the Pentagon, the
My fear of public speaking was for many years more than most could possibly comprehend. Now, it?õ????s a r
The only way I could overcome my lack of self-confidence and conquer it was to face it. BUT, I had to
There is more that I could share in this space; however, if you would like to learn more of my experience, you can review the
"	
Who makes digital printers for flexible printing?	"The main consumer 3D printing technologies - SLA and FDM, both have solutions for flexible printing.
On the SLA end, Formlabs makes a flexible resin that simulates 85A durometer rubber. You can
"	
Can helping others stop me from thinking about how unattractive I am?	"It might sound like a cliche but we have a saying in Arabic ?õ????the beauty is the beauty of the soul?õ???ù.
Show your soul beauty and help because you want to help.
Plus if it's feasible for you and you have medical classified deformities in your face there is no shame in seeking surgical help. Otherwise you can just change your style of wardrobe and how you look.
Confidence is another factor to attractiveness. Be a confident, happy, positive person who has a sense of fashion and no one will care how your face looks.
Not everyone is attracted to facial features. Hell, most of the people on this planet are ugly but they get to bump uglies so you have change to find a ?õ????bumping uglies partner.?õ????
Good luck and be happy.
"	
How is life adapted in places beyond the Arctic circle where the Sun shines continuously for 6 months?	"Life beyong the Arctic Cirlcle is scarce, mostly containing animals like Elk and Foxes. The plant life has evolved to be resistant to high winds, therefore they usually consist of ground-hugging plants like mosses and lichens.
The Sun being there for half a year doesn?õ????t really have a strong effect (Making the average temp. 20 degrees Fahrenheit, instead of like -20 degrees).
~Ethan
"	
What were the results of the colonization of Africa?	"Colonization did a number on Africa, but it wasn?õ????t all bad (
Cons
(1) Europeans came in and displaced Africans from their ancestral land, and crammed them in these small camps, while they took vast acreages for themselves.
(2) After they were done colonizing us ?õ????
(3) Coz we didn?õ????t have nearly enough money (
(4) So our ?õ????governments?õ???ù borrowed money to buy back our land. Now the ?õ????governments?õ???ù (I should say dictatorships or rather the ?õ????African guys who were left in charge?õ????) owned most, if not all of the land.
(5) Now, the land instead of being distributed fairly, it was accumulated by allies, friends and families of the said ?õ????government?õ???ù.
(6) This concentrated most of the land into the hands of very few well connected people. A problem that continues till today.
Now for the Pros:
There is a lot more I haven?õ????t mentioned but I think you get the gist of it, Colonization wasn?õ????t great. Hope this helps *
"	
How much is the salary of a nurse in the Philippines?	"Frustratingly low. I talked to a nurse who worked for St Luke's, and was paid about 500php a day. This is the top hospital in the Philippines so I shudder to think what they get paid in other hospitals.
"	
What is the best part of life?		
Who is the best Chief Minister in Andhra Pradesh?	"Chandra babu naidu is the best cm so far in india. he was the best initiator for all activities in development of state. he was responsible for hyderabad. at young age he had proved his talent and inspired many youngsters.
Naidu as discussed his plan to develop the state of Andhra Pradesh by making the major cities showpieces for foreign investment especially in ""key sectors such as information technology, biotechnology, healthcare and various outsourcing services"".
He coined the slogan ""Bye-bye
Microsoft Corporation has established a software-development centre in Hyderabad, the second such centre outside Seattle. Naidu encouraged other global IT companies (IBM, Dell, Deloitte, Computer Associates and Oracle) to move to Hyderabad, making presentations to global CEOs convincing them to invest in his state.
Hi-Tech City, the crown jewel of Naidu, in Hyderabad.
In his tenure by end of financial year 2003-04 software exports from Hyderabad reached to $1 Billion dollars.
and it become 4th largest exporting city in the country. By 2013-14 with the solid foundation made by Chandra babu the exports grown by 10 more times
and employing about 320,000 people directly working in this IT & ITES fields in Hyderabad alone
"	
"Is Trump draining the swamp, or is he making the swamp worse?"	"Thanks for A2A.
Trump is building a deeper, murkier swamp, inhabited by fearsome creatures on steroids. This may not have been what Trump meant when he talked about infrastructure repair, but it?õ????s close enough for government work. And spot on for Trumpism.
Trump is a populist demagogue. He thrives on discord, chaos, and darkness. In particular he thrives, as do others of his ilk, on a complete u-turn from normalcy. He brings in a man who will throw out a full-staffed, mostly competent and rather experienced 7th floor of the State Department and calls it streamlining government. He elevates his daughter and son-in-law to being the gatekeepers and expediters of all things important, and calls it finally getting the trusted advisors he needs, while giving them the authority and security clearances pertinent to his needs. Surely he has a right to do some of this?õ????but sheesh, folks! Are there no boundaries? Where are the professionals in this group? (
I could go on, but I?õ????m weary of ranting. This is one of those questions where the answer either self-authenticates itself to you, or it doesn?õ????t. No answers needed.
"	
"What neighborhoods should I avoid in Washington, D.C.?"	"I lived on Capitol Hill for several years, and I?õ????m surprised by some of these answers that make it seem like DC is just muggings and murders. That?õ????s Baltimore, silly!
Don?õ????t be scared. Be alert at all times and avoid carrying your smartphone visibly while walking at night. Do not give money to homeless people or street musicians, and try not to call attention to yourself as a tourist. (Leave that fanny pack at home!)
It?õ????s true that pretty much all of NW is OK, as is the Mall and other areas you?õ????re likely to visit on a vacation. As
Other areas have improved quite a bit over the last few years. Capitol Hill has gotten pretty safe, and it?õ????s fine to go out on U St or H St - just be aware. SW (where Nationals Stadium is) has also gotten a lot better and has some fun bars and restaurants, but you should still be careful.
All that being said, some parts of DC are no joke. Avoid riding the Green Line at night, and there is no reason why you should ever be south of the Anacostia River or in Prince George?õ????s County. Many parts of Southeast DC are still unsafe. In Chinatown or Downtown DC, watch out for pickpockets day and night.
"	
"Why do people fight in the name of religion when they believe in a loving, merciful God? If God is one, why don't we agree and settle down?"	"People whose religion teaches peace of a loving and forgiving god will still go to war and commit acts of violence.
This can be for a variety of reasons, that tend to fall inside broad categories:
You have also asked: ?õ????
The answer is because they believe they have good reason to think that such a god exists. Reality does not care whether you or I like it. I do not like the idea of being dashed on the rocks below a cliff should I step off but I think I am justified to ?õ????believe in?õ???ù gravity.
Having accepted the existence of a nasty God, you get to decide if you?õ????d rather be on the God?õ????s side or oppose that God.
Historically, some peoples have believed that they are part of a group that this god favours in some way - maybe the god transports you to a paradise after you are dead, but punishes unbelievers? If such a god existed then I can see a case for going along with things rather than standing in opposition. I mean, this is God: resistance is futile right?
For those people the real question is along the lines of how to tell if this God will keep His/Her/It?õ????s promises.
"	
What is the difference between Allah and God?	"Arabic versus English. That's it. Al-lah is Arabic for ?õ????the one god.?õ???ù It is the same god written about in Hebrew scriptures and in the Holy Bible. Muslims also honor all the prophets of the Bible, including Jesus. It's just that Islam goes a step further and adds another book to the series?õ????not unlike the Mormons did.
Some bigoted Christians (which should be an oxymoron) take pride in calling themselves ?õ????infidels,?õ???ù thinking it means ?õ????non-Muslims.?õ???ù It doesn't, though. Islam doesn't regard Christians (or Jews) as infidels. It calls them ?õ????people of the book,?õ???ù and regards them as spiritual cousins. Infidels are those who don't know or reject God/Yaweh/Allah.
"	
"Since high schools are generally very traumatic places, is it morally wrong to send children there?"	"It?õ????s not entirely that traumatic.
High school is kind of like a ?õ????safe bubble?õ???ù of the world. Some people get it worse than others within the safe bubble. This alone, can make it traumatic, though half the time it is up to the person of how they portray themselves whilst they are at school.
It?õ????s not morally wrong to actually send children there, since they will learn things. If they do so happen to experience the more traumatic side, as you call it, assuming they don?õ????t kill themselves and they are able to have a stable life, this will make them more emotionally stronger, at the bare minimum.
They will also gain knowledge of how to deal with certain situations that happen to them outside of the school world. Children will have, at least somewhat, learnt how people will be outside of school when they have to enter the job world. They will have an idea of those that are at jobs, and have their own way of having to deal with these people.
Maybe it will be more traumatic for them at the workplace instead of school. It may be ?õ????traumatic?õ???ù to go to school, but it can also be ?õ????traumatic?õ???ù to be in the workplace. The trauma they may suffer may just end up helping them.
Sorry for going a little bit off topic.
"	
"What should I do? Whenever I want to study, my mind gets diverted and doesn't have continuity."	"If you use some study techniques, you can study for as long as you want. I will list one here:
The technique?õ????s called
Keep repeating this with different subjects, Now even if you do this for 12 hours straight, you mind will be fresh and will be fully focused. In 12 hours, you studied for almost more than 9.5 hours with full concentration which I feel is twice as effective if you would have just studied continuously for 12 hours.
There are ways to improve this technique and there are many more techniques which when used can help you to make the most out of times you study. For 5 such tricks, watch this 7 minutes video:
In case you don?õ????t want to forget what you studied, follow this Technique.
This technique is called
So, what this technique tells us is our brain tends to forget what we study at a certain interval of time. So, if we repeat the information at those interval when it is supposed to forget the most, we will be able to retain what we study.
German scientist Herman Ebbinghaus did a whole lot of research and drew this forgetting curve:
If you can see, we tend to remember only 58% after 20 minutes and 44% after 1 hour. It further drops to 36% in 9 hours and keeps dropping. After a month, we remember only 21%.
So, next time when you study, following are the time intervals you need to review what you studies to stop your forgetting curve from dropping.
After this, keep reviewing every month. You will be surprised to see how you will be able to remember it for lifetime after 10th review. It does work.
Hope it helps
"	
"Is the term ""homosexual"" offensive in science?"	"Firstly, ?õ????
That is when
This probably dates from times when certain researchers considered transgender to be an extreme form of homosexuality.
The researcher?õ????s terms imply an erasure of trans men ?õ???? you will never be a real man, and erasure of trans women ?õ???? you will never be a real woman.
Furthermore, the term ?õ????
Given all the different concepts of gender (gender identity, pronouns, legal name, legal gender, affirmed gender and assigned gender), the words ?õ????
It would be far more appropriate for scientific researchers to adopt neutral terms, ?õ????
The fact ?õ????
Notice that these terms also neatly remove connotations of rightness or wrongness, normal or abnormal. Removing implied moral judgements from research is surely a good thing.
"	
How is Australia in a drought if it is surrounded by water?	"Australia is not in a drought.. Some parts of it only are in a drought.
To start with, let me dispell some inaccuracies in your comments.
The parts of Australia that do have plenty of water and even too much water are up north in the tropical areas. Which by the way is also a word that is often associated with the Philippines: tropical.
The western and southern states, which do suffer from droughts are a vast distance away. And for them, I gave an answer to another question which explains why....
"	
"What is better, Coke or Pepsi? Why?"		
"You have 1000 wine bottles, one of which is poisoned. You want to determine which bottle is poisoned by feeding the wines to the rats. The poisoned wine takes one hour to work. How many rats are necessary to find the poisoned bottle in one hour?"	"We need minimum
Because
Here is how it works:
We number the bottles from 1 to 1000 and write their corresponding binary numbers on the bottle.
Now, each rat is assigned a placeholder in the binary numbers so formed.
Each rat is given a sip from the bottle if the number on the bottle at the binary place assigned to him is 1 otherwise if it is 0, it doesn't take a sip.
Now for a bottle numbber 28 i.e 0000011100, Rat 3, Rat 4 and Rat 5 take a sip from that bottle. This way each rat takes(or not takes) a sip from many bottles depending upon binary number (0 or 1) appearing against his assigned binary place on that bottle.
Then we wait for an hour and to let rats die. (Sorry PETA!)
Imagine Rat 3,5,6 & 8 died. It means poisoned bottle would be:
(10) (9) (8) (7) (6) (5) (4) (3) (2) (1)
Hence bottle no. 180 was poisoned.
(NOTE
"	
Can anyone give me suggestions to meet up my angry boyfriend? Or is there anybody who's ready to help in Bangalore?	"First thing is get clear understanding for the reason behind his angriness.
Analyse whether his angryness is legitimate.
Since he is your boyfriend, there is nothing wrong in talking and discussing things, this would help to build emotional bonding between you both.
If he is angry because of you, then be sorry to him and discuss things with. Guys like straight forward girls.
Try to do things which brings smile on his face, rather than arguing for any matter.
There could be hundred of issues with a guy, but when he talks to his girl he will be happy. So do talk to him, he may hide his feelings and show anger, but that's not the truth.
So good luck.
"	
